Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Handle,Product Name,Product Type,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
6336f0ecad51133db8d9f8ee,6336fb858d6e93992a34b83b,6336f0ecad51132fc1d9f8ed,6336fb868d6e937e2834b869,amazing,Clearness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,Category 2,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e934ad634b848_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$40.00,,standard-taxable,,,true,2.8,15.59,8.6,4.5,,,Colour,White,,,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Fri Sep 30 2022 15:01:43 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93992a34b83b,6336f0ecad51132fc1d9f8ed,6336fb868d6e93516f34b868,amazing,Clearness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,Category 2,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e93525534b845_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$40.00,,standard-taxable,,,true,2.8,15.59,8.6,4.5,,,Colour,Grey,,,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Fri Sep 30 2022 15:01:43 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93992a34b83b,6336f0ecad51132fc1d9f8ed,6336fb868d6e9359da34b867,amazing,Clearness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,Category 2,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e93ed8434b851_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$40.00,,standard-taxable,,,true,2.8,15.59,8.6,4.5,,,Colour,Black,,,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Fri Sep 30 2022 15:01:43 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93afca34b839,6336f0ecad51132fc1d9f8ed,633ada23debcfda3beaf6ce0,awesomeness,Awesomeness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e93c5fa34b847_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$52.00,,standard-taxable,white_third,,true,35,12,4.5,2.2,,,Colour,White,Composition,Third,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:13 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:21 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93afca34b839,6336f0ecad51132fc1d9f8ed,633ada23ef05de3a5e7b9b11,awesomeness,Awesomeness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e93024234b842_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$62.00,,standard-taxable,,,true,35,12,4.5,2.2,,,Colour,Black,Composition,Third,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:13 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:21 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93afca34b839,6336f0ecad51132fc1d9f8ed,633ada23b7aed32504f46058,awesomeness,Awesomeness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e939eb634b84a_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$46.00,,standard-taxable,,,true,35,12,4.5,2.2,,,Colour,Grey,Composition,Second,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:13 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:21 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93afca34b839,6336f0ecad51132fc1d9f8ed,633ada2327322b5611b54945,awesomeness,Awesomeness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e93c5fa34b847_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$51.00,,standard-taxable,white_second,,true,35,12,4.5,2.2,,,Colour,White,Composition,Second,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:13 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:21 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93afca34b839,6336f0ecad51132fc1d9f8ed,633ada23ec08fb47fb2e8319,awesomeness,Awesomeness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e93024234b842_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$61.00,,standard-taxable,,,true,35,12,4.5,2.2,,,Colour,Black,Composition,Second,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:13 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:21 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93afca34b839,6336f0ecad51132fc1d9f8ed,633ada234ca196e9b696504b,awesomeness,Awesomeness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e939eb634b84a_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$47.00,,standard-taxable,,,true,35,12,4.5,2.2,,,Colour,Grey,Composition,Third,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:13 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:21 GMT+0000 (Coordinated Universal Time)
6336f0ecad51133db8d9f8ee,6336fb858d6e93afca34b839,6336f0ecad51132fc1d9f8ed,6336fb868d6e9375ca34b862,awesomeness,Awesomeness,Advanced,Even the all-powerful Pointing has no control about the blind texts it is an almost unorthographic life.,,https://uploads-ssl.webflow.com/6336f0ecad5113204bd9f8e2/6336fb858d6e939eb634b84a_6336e84a6e1a2beee5f28f2c_store-item-2.jpeg,,$45.00,,standard-taxable,,,true,35,12,4.5,2.2,,,Colour,Grey,Composition,First,,,Fri Sep 30 2022 14:21:57 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:13 GMT+0000 (Coordinated Universal Time),Tue Oct 04 2022 18:13:21 GMT+0000 (Coordinated Universal Time)
